% Model,MFT_3_5_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 26 2024, 19:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
70,60,0.1,0.3,64,8,0.2,0.1,1,3.5,3,4,3.5,0,1,1,0.1,0.1,2,1,10,0.000448713,0.000455325,0.000465114,0,0,0,0.000255061,0.00023505,0.000222148,0.000216712,0.000219838,0,8.84462E-09,7.78947E-09,5.65291E-09,0,0,0,1.21376E-08,1.81375E-08,2.26122E-08,2.55032E-08,2.67046E-08,0
70,70,0.1,0.3,74,6,0.3,0.2,5.5,2.5,6,1.5,3,0,1,1,0.1,0.1,2,1,10,0.000469896,0.000475684,0.000482664,0,0,0,0.000258195,0.000237865,0.000223943,0.000216624,0.000216421,0,3.73607E-08,3.61758E-08,3.3615E-08,0,0,0,4.399E-08,5.16856E-08,5.74681E-08,6.12654E-08,6.29756E-08,0
30,25,0.1,0.1,22,22,0.1,0.2,2.5,2.5,4.5,1.5,6,0,1,1,0.1,0.1,1,1,10,0.000833353,0.000839219,0.000846955,0,0,0,0.00120456,0.00122326,0.00124106,0.00125716,0.0012722,0,2.85789E-08,2.75277E-08,2.52441E-08,0,0,0,4.16562E-08,4.98153E-08,5.56735E-08,5.91858E-08,6.0312E-08,0
65,55,0.2,0.3,66,18,0.2,0.2,4,1.5,3,3.5,4,0,1,1,0.1,0.1,2,1,10,0.000282569,0.00028574,0.000293729,0,0,0,0.000378478,0.00035491,0.000341719,0.000340329,0.000354536,0,3.11692E-08,2.96311E-08,2.63907E-08,0,0,0,5.18192E-08,6.17057E-08,6.89393E-08,7.34128E-08,7.48601E-08,0
30,20,0.1,0.1,76,16,0.2,0.3,5.5,4,3,3.5,3.5,0,1,1,0.1,0.1,1,1,10,0.00137348,0.00137922,0.00138744,0,0,0,0.00279664,0.00286001,0.002912,0.00295008,0.00297822,0,7.70918E-08,7.46692E-08,6.92576E-08,0,0,0,1.94619E-07,2.14507E-07,2.28171E-07,2.35456E-07,2.36295E-07,0
20,15,0.1,0.3,56,20,0.1,0.1,3,1,6,4,5.5,0,1,1,0.1,0.1,2,1,10,0.00171208,0.0017165,0.00172048,0,0,0,0.00117046,0.00113261,0.00111237,0.00110739,0.00112004,0,7.59866E-08,7.40208E-08,6.96706E-08,0,0,0,8.01061E-08,1.01338E-07,1.16233E-07,1.24587E-07,1.26097E-07,0
30,20,0.3,0.1,32,36,0.2,0.2,5,1,4.5,1.5,4,0,1,2,0.1,0.1,1,1,10,0.000463711,0.000468544,0.000519456,0,0,0,0.0024826,0.00251088,0.00253446,0.00255141,0.00256532,0,7.86062E-08,7.50952E-08,6.67298E-08,0,0,0,1.47965E-07,1.61308E-07,1.70289E-07,1.74834E-07,1.74932E-07,0
50,45,0.1,0.2,64,8,0.3,0.1,0.5,1.5,6,1.5,5,0,1,1,0.1,0.1,1,1,10,0.000570763,0.00058049,0.000594195,0,0,0,0.000369149,0.00036469,0.000363085,0.000364067,0.000367914,0,9.61058E-09,7.88985E-09,4.36563E-09,0,0,0,7.42532E-09,1.29628E-08,1.70786E-08,1.9742E-08,2.09109E-08,0
25,25,0.2,0.1,26,34,0.3,0.3,3.5,3,4.5,1.5,3,0,1,1,0.1,0.1,1,1,10,0.000804516,0.000805891,0.000815821,0,0,0,0.00167564,0.0017047,0.00173363,0.00175945,0.00178175,0,7.31713E-08,6.97896E-08,6.12964E-08,0,0,0,6.71341E-08,8.24728E-08,9.35063E-08,1.00185E-07,1.02447E-07,0
70,65,0.2,0.2,40,26,0.2,0.3,5.5,1,5.5,1.5,3.5,0,1,1,0.1,0.1,1,1,10,0.000242903,0.000246275,0.000251657,0,0,0,0.000353295,0.000351395,0.000352105,0.000355375,0.00036243,0,3.82551E-08,3.70074E-08,3.43669E-08,0,0,0,4.66734E-08,5.47338E-08,6.06927E-08,6.44711E-08,6.59613E-08,0
50,35,0.3,0.2,36,8,0.2,0.3,5,1.5,3.5,2,3,0,1,2,0.1,0.1,1,1,10,0.000135366,0.000146088,0.00017766,0,0,0,0.000486926,0.000495421,0.000507054,0.000521917,0.000543402,0,2.53554E-08,2.39876E-08,2.08937E-08,0,0,0,6.36062E-08,7.25185E-08,7.88989E-08,8.2598E-08,8.33826E-08,0
45,30,0.1,0.2,58,10,0.1,0.1,1.5,3.5,3,2,4.5,0,1,1,0.1,0.1,1,1,10,0.000763436,0.000774406,0.000792058,0,0,0,0.000624742,0.000624363,0.00062799,0.000635895,0.000649599,0,1.25689E-08,1.12397E-08,8.57923E-09,0,0,0,3.9424E-08,4.75677E-08,5.34496E-08,5.69972E-08,5.81113E-08,0
50,40,0.1,0.1,40,26,0.3,0.2,6,2.5,4.5,1,6,0,1,1,0.1,0.1,1,1,10,0.000685034,0.000691018,0.000698283,0,0,0,0.00116383,0.00117737,0.00118974,0.00120053,0.0012115,0,4.92894E-08,4.75041E-08,4.36945E-08,0,0,0,9.80981E-08,1.05666E-07,1.11005E-07,1.14066E-07,1.1482E-07,0
60,35,0.1,0.1,44,18,0.1,0.3,5,2.5,5,2,6,0,1,1,0.1,0.1,1,1,10,0.000550368,0.000555382,0.000564238,0,0,0,0.0011833,0.00120982,0.00123378,0.00125482,0.00127558,0,2.60505E-08,2.51414E-08,2.32981E-08,0,0,0,9.49774E-08,1.04372E-07,1.10913E-07,1.14504E-07,1.15074E-07,0
25,15,0.3,0.2,78,20,0.1,0.2,4.5,3.5,4,4,3,0,1,2,0.1,0.1,1,1,10,0.000633086,0.000635731,0.0006812,0,0,0,0.00217314,0.00220481,0.00223394,0.00225763,0.00228187,0,8.61259E-08,8.24522E-08,7.32869E-08,0,0,0,2.15242E-07,2.40829E-07,2.57898E-07,2.66216E-07,2.65564E-07,0
45,30,0.3,0.2,48,18,0.1,0.3,5,2.5,3,4,5,0,1,2,0.1,0.1,1,1,10,0.000246567,0.000252538,0.000283578,0,0,0,0.00083584,0.000849119,0.000867033,0.000890071,0.000923792,0,4.01351E-08,3.83715E-08,3.41936E-08,0,0,0,1.06841E-07,1.21107E-07,1.31089E-07,1.36581E-07,1.37252E-07,0
20,20,0.3,0.1,68,32,0.3,0.3,1,2.5,6,1,5,0,1,2,0.1,0.1,1,1,10,0.000882169,0.000877006,0.000900552,0,0,0,0.0025081,0.00255158,0.0025977,0.00263841,0.00266955,0,6.51372E-08,5.76304E-08,3.98131E-08,0,0,0,2.68605E-08,5.19255E-08,7.01029E-08,8.14511E-08,8.59576E-08,0
30,30,0.2,0.2,48,6,0.3,0.3,5,3,5,3,5,0,1,1,0.1,0.1,1,1,10,0.000457167,0.000459042,0.000461708,0,0,0,0.000580709,0.000594793,0.000610411,0.000626822,0.000644691,0,5.31375E-08,5.12406E-08,4.63721E-08,0,0,0,6.77284E-08,8.00029E-08,8.89938E-08,9.45354E-08,9.64204E-08,0
25,15,0.1,0.1,26,36,0.2,0.1,3.5,3.5,3.5,3,5,0,1,1,0.1,0.1,1,1,10,0.00149236,0.00150688,0.00153339,0,0,0,0.00312777,0.00314198,0.00315562,0.00316773,0.00318173,0,5.71128E-08,5.43154E-08,4.81483E-08,0,0,0,1.48184E-07,1.59118E-07,1.66293E-07,1.69675E-07,1.69273E-07,0
20,20,0.2,0.1,36,36,0.3,0.3,5,1.5,4,2,4,0,1,1,0.1,0.1,1,1,10,0.00118424,0.00117716,0.00117293,0,0,0,0.0023787,0.00243074,0.00247695,0.00251364,0.0025406,0,1.28983E-07,1.24695E-07,1.13606E-07,0,0,0,1.17358E-07,1.37158E-07,1.51106E-07,1.59143E-07,1.6121E-07,0
65,55,0.2,0.2,70,12,0.2,0.2,4,3,5,1,4,0,1,1,0.1,0.1,1,1,10,0.000270606,0.000275089,0.000284555,0,0,0,0.000439933,0.000438803,0.000440453,0.000445081,0.000454638,0,2.9384E-08,2.78398E-08,2.46173E-08,0,0,0,5.25334E-08,6.02885E-08,6.59499E-08,6.94404E-08,7.06591E-08,0
35,35,0.2,0.1,30,32,0.2,0.2,2.5,4,3,1.5,5.5,0,1,1,0.1,0.1,1,1,10,0.000555712,0.000558791,0.000568659,0,0,0,0.00117077,0.0011831,0.0011969,0.00121115,0.00122585,0,3.99709E-08,3.76943E-08,3.23509E-08,0,0,0,4.0985E-08,4.98101E-08,5.62357E-08,6.02385E-08,6.17986E-08,0
55,35,0.1,0.2,28,20,0.1,0.1,1.5,4,3,2,3,0,1,1,0.1,0.1,1,1,10,0.000594604,0.000603703,0.000619314,0,0,0,0.000490329,0.000486228,0.000486348,0.000490984,0.000501502,0,9.03908E-09,7.96535E-09,5.81447E-09,0,0,0,3.22187E-08,3.86E-08,4.32026E-08,4.59645E-08,4.68056E-08,0
20,15,0.3,0.1,30,10,0.2,0.1,1,3,3.5,4,5.5,0,1,2,0.1,0.1,1,1,10,0.000351116,0.000365799,0.000441977,0,0,0,0.00156282,0.0015855,0.00160671,0.00162562,0.0016425,0,1.74338E-08,1.4214E-08,6.23209E-09,0,0,0,4.0569E-08,4.76206E-08,5.26416E-08,5.56151E-08,5.65137E-08,0
65,50,0.2,0.3,34,36,0.3,0.3,1,1,4.5,1.5,5.5,0,1,1,0.1,0.1,2,1,10,0.000300378,0.000311852,0.000353906,0,0,0,0.000409503,0.00036866,0.000343279,0.000334274,0.000344737,0,1.68475E-08,1.45753E-08,9.56542E-09,0,0,0,1.42238E-08,2.65145E-08,3.56075E-08,4.13617E-08,4.34723E-08,0
60,50,0.1,0.2,64,12,0.2,0.1,0.5,4,5,2,3.5,0,1,1,0.1,0.1,1,1,10,0.000594198,0.00060448,0.000620987,0,0,0,0.000390089,0.000384347,0.000382026,0.000383111,0.000387888,0,7.36514E-09,5.91686E-09,3.00199E-09,0,0,0,1.02116E-08,1.60181E-08,2.03202E-08,2.30806E-08,2.42494E-08,0
45,45,0.1,0.2,58,20,0.1,0.2,5.5,2,3.5,1.5,5.5,0,1,1,0.1,0.1,1,1,10,0.000844551,0.000846628,0.000848475,0,0,0,0.000520339,0.000523488,0.000530196,0.000539985,0.000553649,0,5.89438E-08,5.80528E-08,5.59784E-08,0,0,0,6.55144E-08,7.51643E-08,8.22436E-08,8.66583E-08,8.83096E-08,0
30,30,0.1,0.3,20,6,0.3,0.1,4.5,2,4.5,3,5,0,1,1,0.1,0.1,2,1,10,0.000474679,0.000483987,0.000492198,0,0,0,0.000289409,0.000277439,0.000271805,0.000272492,0.000280753,0,2.85693E-08,2.76832E-08,2.54775E-08,0,0,0,3.68999E-08,4.31851E-08,4.78268E-08,5.07058E-08,5.1672E-08,0
60,35,0.2,0.3,70,14,0.3,0.1,0.5,4,6,3.5,5,0,1,1,0.1,0.1,2,1,10,0.000406055,0.000437942,0.000591976,0,0,0,0.000507892,0.000537424,0.000454571,0.000449177,0.000459317,0,1.1646E-08,8.30231E-09,-4.1881E-10,0,0,0,2.38278E-08,3.49951E-08,4.38681E-08,4.91737E-08,5.10695E-08,0
40,30,0.2,0.1,80,40,0.1,0.2,6,3,6,2,5.5,0,1,1,0.1,0.1,1,1,10,0.000749276,0.000751715,0.000763274,0,0,0,0.0024722,0.00249889,0.00252107,0.00253744,0.00255151,0,1.00875E-07,9.82574E-08,9.24355E-08,0,0,0,1.90644E-07,2.05412E-07,2.15583E-07,2.21076E-07,2.21875E-07,0
25,20,0.1,0.3,38,16,0.1,0.1,3,1,4.5,1.5,3.5,0,1,1,0.1,0.1,2,1,10,0.000998521,0.00100489,0.00101147,0,0,0,0.000682042,0.000651093,0.000632784,0.000626483,0.000634349,0,4.58026E-08,4.45362E-08,4.18269E-08,0,0,0,5.21562E-08,6.55656E-08,7.52322E-08,8.10041E-08,8.26506E-08,0
40,25,0.1,0.2,50,22,0.2,0.3,2,3.5,6,3,3,0,1,1,0.1,0.1,1,1,10,0.000951894,0.000967667,0.000997014,0,0,0,0.000914181,0.000932315,0.000953813,0.000977911,0.00100612,0,2.61957E-08,2.38962E-08,1.91919E-08,0,0,0,5.89018E-08,7.62342E-08,8.85465E-08,9.56578E-08,9.72539E-08,0
30,20,0.2,0.3,68,12,0.1,0.3,2.5,2.5,4.5,4,6,0,1,1,0.1,0.1,2,1,10,0.000575323,0.000581549,0.000602795,0,0,0,0.000904533,0.000891529,0.000892933,0.000910321,0.0009473,0,4.24716E-08,4.01969E-08,3.52637E-08,0,0,0,7.15086E-08,9.55535E-08,1.12698E-07,1.22664E-07,1.247E-07,0
20,15,0.1,0.1,32,10,0.3,0.2,0.5,1.5,3.5,1,4,0,1,1,0.1,0.1,1,1,10,0.000975979,0.00100495,0.00105191,0,0,0,0.0014168,0.00144573,0.001474,0.00149982,0.0015227,0,1.39181E-08,1.09403E-08,4.73763E-09,0,0,0,1.73957E-08,2.73342E-08,3.45617E-08,3.90353E-08,4.06773E-08,0
45,40,0.3,0.3,58,24,0.3,0.2,3.5,3,5.5,4,5.5,0,1,2,0.1,0.1,2,1,10,0.000320188,0.000321178,0.000337607,0,0,0,0.00053962,0.000508329,0.000490124,0.000486333,0.000500411,0,4.73989E-08,4.43195E-08,3.72401E-08,0,0,0,6.11506E-08,7.51161E-08,8.52751E-08,9.14823E-08,9.34294E-08,0
45,45,0.2,0.1,36,18,0.1,0.2,2.5,1.5,5,2,5,0,1,1,0.1,0.1,1,1,10,0.000306238,0.000308919,0.000313601,0,0,0,0.000662261,0.000671951,0.000681924,0.000691628,0.000700978,0,2.40585E-08,2.29692E-08,2.05771E-08,0,0,0,2.21144E-08,2.74618E-08,3.14235E-08,3.39786E-08,3.51037E-08,0
20,20,0.1,0.1,72,6,0.2,0.3,5,1.5,6,3.5,5.5,0,1,1,0.1,0.1,1,1,10,0.00166632,0.00166963,0.00167317,0,0,0,0.00194863,0.00198361,0.00201688,0.00204461,0.00206678,0,9.65925E-08,9.44594E-08,8.9126E-08,0,0,0,1.00431E-07,1.17004E-07,1.28896E-07,1.3604E-07,1.38356E-07,0
65,35,0.2,0.2,70,36,0.1,0.3,4.5,1,3,1,4,0,1,1,0.1,0.1,1,1,10,0.000442871,0.000453199,0.000496315,0,0,0,0.00102562,0.00103796,0.00105806,0.00108714,0.00113401,0,3.97869E-08,3.76186E-08,3.29089E-08,0,0,0,1.37663E-07,1.55545E-07,1.67976E-07,1.74709E-07,1.75309E-07,0
25,20,0.3,0.1,74,32,0.3,0.3,3,1,6,2.5,5.5,0,1,2,0.1,0.1,1,1,10,0.000717466,0.000710461,0.000740613,0,0,0,0.00284604,0.0029035,0.00294985,0.00298193,0.00300104,0,9.22268E-08,8.55963E-08,7.0482E-08,0,0,0,1.08058E-07,1.31461E-07,1.48012E-07,1.57633E-07,1.60239E-07,0
65,40,0.3,0.2,66,34,0.3,0.3,5.5,4,4.5,1,3.5,0,1,2,0.1,0.1,1,1,10,0.000276301,0.000289683,0.000377053,0,0,0,0.00095323,0.000958511,0.000972618,0.000996199,0.0010388,0,4.88586E-08,4.57829E-08,3.7809E-08,0,0,0,1.49717E-07,1.66238E-07,1.77662E-07,1.8378E-07,1.84176E-07,0
65,45,0.1,0.3,22,34,0.3,0.2,6,2.5,5,3,4.5,0,1,1,0.1,0.1,2,1,10,0.000521117,0.000528613,0.000542222,0,0,0,0.000580981,0.000504299,0.000462124,0.000452981,0.000489499,0,3.71718E-08,3.57164E-08,3.26529E-08,0,0,0,8.83077E-08,9.92303E-08,1.06808E-07,1.10951E-07,1.11203E-07,0
70,45,0.1,0.1,58,10,0.1,0.2,4.5,2,5.5,3,6,0,1,1,0.1,0.1,1,1,10,0.000458322,0.000462471,0.000469947,0,0,0,0.000852647,0.000866067,0.000878702,0.000890607,0.000903326,0,1.94825E-08,1.87078E-08,1.71435E-08,0,0,0,6.86821E-08,7.43183E-08,7.83049E-08,8.0595E-08,8.11579E-08,0
60,55,0.1,0.3,26,14,0.2,0.2,0.5,2,5,1.5,3,0,1,1,0.1,0.1,2,1,10,0.000337148,0.000342744,0.000349357,0,0,0,0.000183658,0.000170121,0.000161251,0.000157351,0.000158569,0,7.00037E-09,6.24992E-09,4.70871E-09,0,0,0,1.30819E-09,6.81712E-09,1.0989E-08,1.37511E-08,1.5008E-08,0
40,35,0.1,0.3,36,40,0.2,0.2,1,3,6,2,4.5,0,1,1,0.1,0.1,2,1,10,0.00105251,0.00106067,0.00107297,0,0,0,0.000658931,0.00058674,0.000539066,0.000514453,0.000514965,0,2.88675E-08,2.66967E-08,2.21452E-08,0,0,0,1.03228E-08,2.67679E-08,3.88804E-08,4.65444E-08,4.95198E-08,0
70,40,0.1,0.1,40,36,0.3,0.2,5,1,3,1.5,5.5,0,1,1,0.1,0.1,1,1,10,0.000642028,0.000651646,0.000680775,0,0,0,0.00131711,0.00133272,0.00134801,0.00136304,0.00138075,0,3.05135E-08,2.83596E-08,2.38814E-08,0,0,0,1.14047E-07,1.22015E-07,1.27473E-07,1.30364E-07,1.30668E-07,0
